0,15,2,
5
00000000000000000011,473
00000000000000000001,458
00000000000000000100,236
00000000000000000110,410
Qiskit,Norm
9
00000000000000000101,482
00000000000000000010,246
00000000000000000111,5705
00000000000000000000,60
00000000000000000011,646
00000000000000000001,469
00000000000000000100,71
00000000000000000110,513
16,10,1,
5
PreSwap,Craig
17
00000000000000000101,1317
00000000000000000010,321
00000000000000000111,4414
00000000000000000000,245
00000000000000000011,786
00000000000000000001,622
00000000000000000100,214
00000000000000000110,273
PreSwap,Norm
27
00000000000000000101,1302
00000000000000000010,509
00000000000000000111,3270
00000000000000000000,464
00000000000000000011,969
00000000000000000001,898
00000000000000000100,334
00000000000000000110,446
Qiskit,Craig
20
00000000000000000101,1260
00000000000000000010,388
00000000000000000111,3437
00000000000000000000,426
00000000000000000011,344
00000000000000000001,388
00000000000000000100,788
00000000000000000110,1161
Qiskit,Norm
33
00000000000000000101,595
00000000000000000010,749
00000000000000000111,3339
00000000000000000000,310
00000000000000000011,1111
00000000000000000001,608
00000000000000000100,299
00000000000000000110,1181
3,13,11,
6
PreSwap,Craig
20
00000000000000000101,840
00000000000000000010,759
00000000000000000111,3947
00000000000000000000,349
00000000000000000011,760
00000000000000000001,711
00000000000000000100,291
00000000000000000110,535
PreSwap,Norm
27
00000000000000000101,769
00000000000000000010,993
00000000000000000111,2615
00000000000000000000,719
00000000000000000011,819
00000000000000000001,838
00000000000000000100,615
00000000000000000110,824
Qiskit,Craig
29
00000000000000000101,824
00000000000000000010,373
00000000000000000111,3315
00000000000000000000,383
00000000000000000011,781
00000000000000000001,1370
00000000000000000100,603
00000000000000000110,543
Qiskit,Norm
39
00000000000000000101,1088
00000000000000000010,658
00000000000000000111,2248
00000000000000000000,418
00000000000000000011,1534
00000000000000000001,1113
00000000000000000100,374
00000000000000000110,759
4,2,17,
7
PreSwap,Craig
23
00000000000000000101,377
00000000000000000010,550
00000000000000000111,4420
00000000000000000000,146
00000000000000000011,522
00000000000000000001,268
00000000000000000100,253
00000000000000000110,1656
PreSwap,Norm
28
00000000000000000101,615
00000000000000000010,542
00000000000000000111,4330
00000000000000000000,249
00000000000000000011,1145
00000000000000000001,648
00000000000000000100,132
00000000000000000110,531
Qiskit,Craig
38
00000000000000000101,709
00000000000000000010,812
00000000000000000111,2416
00000000000000000000,398
00000000000000000011,799
00000000000000000001,375
00000000000000000100,706
00000000000000000110,1977
Qiskit,Norm
51
00000000000000000101,853
00000000000000000010,571
00000000000000000111,3226
00000000000000000000,270
00000000000000000011,1211
00000000000000000001,1213
00000000000000000100,248
00000000000000000110,600
15,0,9,
8
PreSwap,Craig
26
00000000000000000101,241
00000000000000000010,713
00000000000000000111,4662
00000000000000000000,188
00000000000000000011,1526
00000000000000000001,222
00000000000000000100,185
00000000000000000110,455
PreSwap,Norm
30
00000000000000000101,401
00000000000000000010,709
00000000000000000111,4455
00000000000000000000,94
00000000000000000011,1568
00000000000000000001,391
00000000000000000100,90
00000000000000000110,484
Qiskit,Craig
35
00000000000000000101,485
00000000000000000010,1472
00000000000000000111,1586
00000000000000000000,638
00000000000000000011,1476
00000000000000000001,566
00000000000000000100,509
00000000000000000110,1460
Qiskit,Norm
39
00000000000000000101,946
00000000000000000010,509
00000000000000000111,3291
00000000000000000000,251
00000000000000000011,1418
00000000000000000001,1297
00000000000000000100,142
00000000000000000110,338
16,6,1,
7
PreSwap,Craig
20
00000000000000000101,314
00000000000000000010,727
00000000000000000111,4760
00000000000000000000,281
00000000000000000011,401
00000000000000000001,169
00000000000000000100,814
00000000000000000110,726
PreSwap,Norm
28
00000000000000000101,453
00000000000000000010,761
00000000000000000111,4205
00000000000000000000,215
00000000000000000011,928
00000000000000000001,1045
00000000000000000100,142
00000000000000000110,443
Qiskit,Craig
20
00000000000000000101,547
00000000000000000010,493
00000000000000000111,3479
00000000000000000000,375
00000000000000000011,774
00000000000000000001,644
00000000000000000100,731
00000000000000000110,1149
Qiskit,Norm
24
00000000000000000101,369
00000000000000000010,786
00000000000000000111,4109
00000000000000000000,245
00000000000000000011,610
00000000000000000001,384
00000000000000000100,247
00000000000000000110,1442
1,3,4,
3
PreSwap,Craig
11
00000000000000000101,416
00000000000000000010,802
00000000000000000111,4803
00000000000000000000,273
00000000000000000011,771
00000000000000000001,339
00000000000000000100,240
00000000000000000110,548
PreSwap,Norm
18
00000000000000000101,662
00000000000000000010,725
00000000000000000111,4298
00000000000000000000,316
00000000000000000011,756
00000000000000000001,594
00000000000000000100,300
00000000000000000110,541
Qiskit,Craig
14
00000000000000000101,562
00000000000000000010,314
00000000000000000111,4427
00000000000000000000,230
00000000000000000011,650
00000000000000000001,713
00000000000000000100,654
00000000000000000110,642
Qiskit,Norm
13
00000000000000000101,676
00000000000000000010,777
00000000000000000111,4386
00000000000000000000,172
00000000000000000011,924
00000000000000000001,767
00000000000000000100,120
00000000000000000110,370
7,18,3,
9
PreSwap,Craig
26
00000000000000000101,500
00000000000000000010,258
00000000000000000111,4661
00000000000000000000,184
00000000000000000011,1112
00000000000000000001,949
00000000000000000100,165
00000000000000000110,363
PreSwap,Norm
30
00000000000000000101,735
00000000000000000010,222
00000000000000000111,4494
00000000000000000000,134
00000000000000000011,1067
00000000000000000001,1026
00000000000000000100,77
00000000000000000110,437
Qiskit,Craig
32
00000000000000000101,582
00000000000000000010,994
00000000000000000111,2144
00000000000000000000,891
00000000000000000011,1558
00000000000000000001,873
00000000000000000100,586
00000000000000000110,564
Qiskit,Norm
24
00000000000000000101,680
00000000000000000010,419
00000000000000000111,4049
00000000000000000000,151
00000000000000000011,1410
00000000000000000001,759
00000000000000000100,128
00000000000000000110,596
9,12,14,
3
PreSwap,Craig
11
00000000000000000101,1098
00000000000000000010,358
00000000000000000111,3655
